dept_co,dept_nombre,muni_co,muni_nombre,mesas_total,mesas_escrutadas,pct_mesas_escrutadas,total_votantes,pct_participacion,total_abstencion,votos_nulos,votos_no_marcados,votos_blancos,votos_validos,codcan,codpar,candidato_presidente,candidato_vicepresidente,votos_candidato,pct_votos_candidato
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,1145,8.97
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,199,1.55
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,146,1.14
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,43,0.33
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,35,0.27
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,21,0.16
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,16,0.12
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,14,0.1
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,9,0.07
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,6,0.04
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,3,0.02
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,4658,58.82
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,2215,27.97
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,800,10.1
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,37,0.46
