id_puesto,puesto,cod_comune,direccion,lon,lat,semaforo,rank_abelardo,votos_abelardo,total_validos,pct_abelardo,n_mesas,v_paloma_valencia,v_sergio_fajardo,v_miguel_uribe_londoño,v_gustavo_matamoros,v_roy_barrera,v_ivan_cepeda,v_santiago_botero,v_sondra_maconllis,v_abelardo_de_la_espriella,v_claudia_lopez,v_luis_gilberto_murillo,v_carlos_caicedo,v_oscar_mauricio_lizcano
p0768,IE YERMO Y PARRES,16,CALLE 28 No 77 84,-75.5977483642776,6.22925390449389,verde,1.0,678.0,1245.0,54.46,5.0,101.0,169.0,0.0,0.0,0.0,284.0,0.0,0.0,678.0,0.0,0.0,0.0,0.0
p0769,INST.EDUC. LA CANDELARIA,01,CL 106 # 32-100,-75.5423206007391,6.29349116166773,verde,1.0,2929.0,6346.0,46.16,44.0,561.0,480.0,0.0,0.0,0.0,2157.0,0.0,0.0,2929.0,0.0,0.0,0.0,0.0
p0770,INST. FERRINI - SD CALASANZ,12,CLL 51A No 81B - 33,-75.5986717881114,6.26511529115889,verde,1.0,3033.0,5564.0,54.51,20.0,400.0,722.0,0.0,0.0,0.0,1356.0,0.0,0.0,3033.0,0.0,0.0,0.0,0.0
p0771,INST. SALESIANO PEDRO JUSTO BERRIO,16,CRA 87A 32A 101,-75.6112290401909,6.23679368772765,verde,1.0,784.0,1498.0,52.34,6.0,106.0,240.0,0.0,0.0,0.0,346.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0
p0772,INST. UNIVERSITARIA SALAZAR Y HERRERA,11,CR 70 52 49,-75.5853604985364,6.26031234804372,verde,1.0,169.0,297.0,56.9,2.0,17.0,20.0,0.0,0.0,0.0,89.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0
p0773,INSTITUCION EDUCATIVA ROSALIA SUAREZ,16,CLL 30A # 80 -18,-75.5971931689239,6.23268787050543,verde,1.0,2244.0,3811.0,58.88,13.0,284.0,438.0,0.0,0.0,0.0,810.0,0.0,0.0,2244.0,0.0,0.0,0.0,0.0
p0774,INSTITUTO FERRINI - SEDE ROBLEDO,07,CALLE 76 # 80-431,-75.5922695190442,6.27800378421183,verde,1.0,4375.0,9050.0,48.34,39.0,509.0,1091.0,0.0,0.0,0.0,2955.0,0.0,0.0,4375.0,0.0,0.0,0.0,0.0
p0775,INSTITUTO JORGE ROBLEDO,11,CL 51 # 65 - 72,-75.5817694954761,6.25835987273479,verde,1.0,3624.0,6511.0,55.66,25.0,746.0,617.0,0.0,0.0,0.0,1457.0,0.0,0.0,3624.0,0.0,0.0,0.0,0.0
p0776,INSTITUTO SAN CARLOS,16,DIAG. 79 # 15-123,-75.6001668584475,6.22330094979852,verde,1.0,5675.0,8208.0,69.14,30.0,837.0,757.0,0.0,0.0,0.0,883.0,0.0,0.0,5675.0,0.0,0.0,0.0,0.0
p0777,ITM CASTILLA,05,CR 65 No 98 A - 75,-75.5693422455966,6.29391365140096,verde,1.0,5463.0,10658.0,51.26,49.0,707.0,1056.0,0.0,0.0,0.0,3226.0,0.0,0.0,5463.0,0.0,0.0,0.0,0.0
